"Provinsi","Cluster","uhh","puskesmas","imun","tenagamedis","bpjs","sanitasi","sumberair"
"ACEH",1,69.96,363,21.55,2683,83.4,77.55,88.79
"SUMATERA UTARA",1,69.23,618,42.8,5611,31.97,82.02,90.89
"SUMATERA BARAT",1,69.59,282,42.8,2626,37.93,68.68,83.4
"RIAU",1,71.67,238,44.61,2634,27.05,83.64,89.76
"JAMBI",1,71.22,212,48.34,1533,25.01,80.36,79.7
"SUMATERA SELATAN",1,69.98,352,52.32,2464,28.65,77.29,84.7
"BENGKULU",1,69.42,185,66.21,787,37.28,79.81,67.39
"LAMPUNG",1,70.73,310,63.99,2392,45.13,83.89,80.2
"KEP. BANGKA BELITUNG",1,70.73,65,64.15,751,33.59,92.24,73.4
"KEPULAUAN RIAU",1,70.12,92,63.45,1188,20.53,91.62,90.83
"DKI JAKARTA",2,73.01,250,60.87,13921,53.9,95.17,99.86
"JAWA BARAT",2,73.23,1105,52.23,14784,32.53,71.66,93.24
"JAWA TENGAH",2,74.47,879,69.09,11974,43.41,83.28,93.62
"D I YOGYAKARTA",1,75.04,120,69.33,3017,51.53,97.12,95.69
"JAWA TIMUR",2,71.38,1009,61.43,12890,35.25,80.97,95.02
"BANTEN",1,70.02,249,48.82,4445,29.38,82.89,93.51
"BALI",1,72.24,120,73.18,3607,39.96,95.95,97.56
"NUSA TENGGARA BARAT",1,66.69,177,63.33,1412,45.17,82.85,94.6
"NUSA TENGGARA TIMUR",1,67.15,414,66.48,1069,48.43,73.36,85.4
"KALIMANTAN BARAT",1,70.76,244,52.04,1242,31.23,78.39,78.76
"KALIMANTAN TENGAH",1,69.79,203,53.93,973,35.3,73.77,77.05
"KALIMANTAN SELATAN",1,68.83,236,63.2,1529,40.69,81.43,76.4
"KALIMANTAN TIMUR",1,74.61,188,63.46,1916,24.2,89.77,85.8
"KALIMANTAN UTARA",1,72.65,60,66.38,420,39.46,79.8,86.8
"SULAWESI UTARA",1,71.76,198,63.61,2045,44.76,84.85,91.65
"SULAWESI TENGAH",1,68.83,220,59.45,999,46.81,76.06,88.51
"SULAWESI SELATAN",1,70.66,473,62.77,3267,52.61,91.57,91.18
"SULAWESI TENGGARA",1,71.27,291,63.11,847,48.28,85.62,91.94
"GORONTALO",1,68.19,93,65.05,495,62.45,78.58,94.57
"SULAWESI BARAT",1,65.25,100,55.16,385,57.24,80.12,78.35
"MALUKU",1,66.09,218,53.52,649,33.14,76.77,93.21
"MALUKU UTARA",1,68.45,149,48.99,438,30.18,77.11,88.66
"PAPUA BARAT",1,66.14,179,53.78,435,46.9,77.89,81.68
"PAPUA",1,65.93,447,43.61,888,29.87,40.81,64.92
